owner,token_id,listed,price,expired
stars142y7tvfszk3z5t56dufy0sks3ejm27yvhcvecz,1134,false,0,false
stars17thjlfery37pq7jnzpsylplvm0s9frfsqhgzcx,1150,false,0,false
stars1yxhjnc3u2avecdqwj63n4xeymg958ausmm28ng,1115,false,0,false
stars10rgklxvl892p07754t4yv573y9nrw3q0d2z8a6,112,false,0,false
stars10hncce2cs2hlv7l4djw4syhx0sevdz9257tsh5,1116,false,0,false
stars1jz6wf7xquefuraxqgwgcjyyznf6xqhxxdvjeea,1166,false,0,false
stars1wwf5qcpg6wxn304k65te96apdf59vdx0vq7jsh,1123,false,0,false
stars1884g097ldwahyzpvl5xjr4dtlztc9uhkj9nqsq,1120,false,0,false
stars1r2x9cdpjdyc3z6hvms0v5lngwz0zxspe6z83nq,1108,false,0,false
stars15xhytau6h7ypmts5k93u7dd4c9takfy5vpkf4d,1128,false,0,false
stars1r9nmmpykgqs8y0jt23vf3626f0gpa6xny2g65u,1122,false,0,false
stars13stj4dcva0efyew5a9dk2ehp0zqwyv2j0l70uw,1149,true,4995000000,false
stars1ahna99xw2vn8yntz3zx7xcghezuad0hxwtpjzd,114,false,0,false
stars16a5nzlqg4yyxclsv9kv2myt9f5w8c9lekua3mm,1163,false,0,false
stars138lagxac7fq7c5me3fu8p6ntnhahcgyrwqvtcy,1139,false,0,false
stars1sefn0da30juv928gj4anarq27vqq73v4kkw6qp,1144,false,0,false
stars1hp7k378djny7qzwehxflx9tlpva7j9xu25rmee,1157,false,0,false
stars1f9cmjlkwqrklu6hlhk8a4atw9wnawj2j028hs3,1143,false,0,false
stars1w29q07ffksumkxm0rhzd2r3vcgdyjaft8lha2m,1183,false,0,false
stars1lm25s78k6jpfq6kgg4lmd7hfukcyyrvxsea8uu,115,false,0,false
stars1ey2qq46jncqumzhz8yn4wregkca3v06cm0nht2,1114,false,0,false
stars13s7vekg5x3ycj9d5lus4mgh8fh4zylvs5yfvnx,1168,true,15750000000,false
stars12el5dedx63w4643swkgxntpqhsvscg4frn0pw2,1165,false,0,false
stars1fm4jgd2ge6k5wkad6q306enurgs46gnzhyu9dv,1151,false,0,false
stars1r9nmmpykgqs8y0jt23vf3626f0gpa6xny2g65u,1170,false,0,false
stars1884g097ldwahyzpvl5xjr4dtlztc9uhkj9nqsq,1136,false,0,false
stars1xwseskrmnxrvesmad0xtyfvl3lx7xzkklayua3,1191,false,0,false
